Trade_ID,Date,Time,Instrument,Setup_Type,Session,Risk_Reward_Ratio,Risk_Amount,Win_Loss,PnL,Balance,Peak_Balance,Drawdown_Pct,Cumulative_PnL,Trade_Number,Win_Binary,Day_of_Week,Month,Year,Quarter,Hour,Streak,Longest_Win_Streak_20,Longest_Loss_Streak_20,Streak_Momentum,Trades_Since_Last_Win,Trades_Since_Last_Loss,MA_PnL_5,MA_Balance_5,MA_PnL_10,MA_Balance_10,MA_PnL_20,MA_Balance_20,MA_PnL_50,MA_Balance_50,PnL_Velocity_5,Balance_Momentum_10,PnL_Acceleration,PnL_Volatility_10,PnL_Volatility_20,PnL_Volatility_50,CV_20,Drawdown_Dollar,Recovery_Rate,MAE_Proxy,Risk_Adjusted_Return_20,Trades_Per_Day,DateTime,Hours_Since_Last_Trade,Potential_Revenge_Trade,Risk_Change_Pct,Risk_Escalation,Same_Session_As_Prev,Setup_Changes_10,Hour_Sin,Hour_Cos,DayOfWeek_Num,DayOfWeek_Sin,DayOfWeek_Cos,Month_Num,Month_Sin,Month_Cos,Is_Monday,Is_Friday,Days_In_Month,Day_Of_Month,Is_Month_End,Is_Month_Start,Win_Rate_10,Win_Rate_20,Win_Rate_50,Profit_Factor_20,Profit_Factor_50,Avg_Win_Loss_Ratio_20,Expectancy_20,Performance_Percentile
1,2023-01-02,20:06,EUR/USD,Breakout,New York,2.0,89.8,Win,179.59,10179.59,10179.59,0.0,179.59,1,1,Monday,January,2023,1,20,1,1,0,179.59,0,1,179.59,10179.59,179.59,10179.59,179.59,10179.59,179.59,10179.59,,,,,,,,0.0,0.0,89.8,,1,2023-01-02 20:06:00,,0,,0,0,1.0,-0.8660254037844386,0.5000000000000001,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,2,0,1,100.0,100.0,100.0,,,,179.59,71.8
2,2023-01-03,21:05,NAS100,Scalping,New York,1.0,103.62,Win,103.62,10283.21,10283.21,0.0,283.21000000000004,2,1,Tuesday,January,2023,1,21,2,2,0,207.24,0,2,141.60500000000002,10231.4,141.60500000000002,10231.4,141.60500000000002,10231.4,141.60500000000002,10231.4,-37.985,,,53.718902166742026,53.718902166742026,53.718902166742026,,0.0,0.0,103.62,,1,2023-01-03 21:05:00,24.983333333333334,0,15.389755011135865,0,1,2.0,-0.7071067811865477,0.7071067811865474,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,0,0,31,3,0,1,100.0,100.0,100.0,,,,141.60500000000002,54.800000000000004
3,2023-01-05,06:41,NAS100,Reversal,Tokyo,3.0,81.06,Win,243.18,10526.4,10526.4,0.0,526.3900000000001,3,1,Thursday,January,2023,1,6,3,3,0,729.54,0,3,175.46333333333334,10329.733333333332,175.46333333333334,10329.733333333332,175.46333333333334,10329.733333333332,175.46333333333334,10329.733333333332,21.19666666666667,,139.56000000000003,69.87145649929829,69.87145649929829,69.87145649929829,,0.0,0.0,81.06,,1,2023-01-05 06:41:00,33.6,0,-21.771858714533877,0,0,3.0,1.0,6.123233995736766e-17,3,0.43388373911755823,-0.900968867902419,1,0.49999999999999994,0.8660254037844387,0,0,31,5,0,0,100.0,100.0,100.0,,,,175.46333333333334,82.19999999999999
4,2023-01-09,22:55,EUR/GBP,News Trading,Sydney,1.5,97.97,Win,146.95,10673.35,10673.35,0.0,673.3400000000001,4,1,Monday,January,2023,1,22,4,4,0,587.8,0,4,168.335,10415.6375,168.335,10415.6375,168.335,10415.6375,168.335,10415.6375,-8.160000000000004,,-96.23000000000002,58.80419061030714,58.80419061030714,58.80419061030714,,0.0,0.0,97.97,,2,2023-01-09 22:55:00,112.23333333333333,0,20.861090550209727,0,0,4.0,-0.5000000000000004,0.8660254037844384,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,9,0,0,100.0,100.0,100.0,,,,168.335,63.800000000000004
5,2023-01-09,00:48,USD/JPY,Swing,Sydney,2.5,93.61,Win,234.03,10907.37,10907.37,0.0,907.3700000000001,5,1,Monday,January,2023,1,0,5,5,0,1170.15,0,5,181.474,10513.984,181.474,10513.984,181.474,10513.984,181.474,10513.984,10.888,,87.07999999999993,58.792994735767635,58.792994735767635,58.792994735767635,0.32397475525842623,0.0,0.0,93.61,3.086660252902502,2,2023-01-09 00:48:00,-22.116666666666667,0,-4.45034194141064,0,1,5.0,0.0,1.0,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,9,0,0,100.0,100.0,100.0,,,,181.474,80.0
6,2023-01-11,10:38,GBP/USD,Breakout,Overlap-Asia-EU,2.5,83.87,Loss,-83.87,10823.5,10907.37,0.77,823.5000000000001,6,0,Wednesday,January,2023,1,10,-1,5,1,83.87,1,0,128.78199999999998,10642.766,137.25,10565.57,137.25,10565.57,137.25,10565.57,-37.498000000000005,,-317.9,120.41538954801418,120.41538954801418,120.41538954801418,0.8773434575447299,83.8700000000008,-0.9999999999999906,83.87,1.1398044761153492,1,2023-01-11 10:38:00,57.833333333333336,0,-10.40487127443649,0,0,6.0,0.49999999999999994,-0.8660254037844387,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,31,11,0,0,83.33333333333334,83.33333333333334,83.33333333333334,10.81876713962084,10.81876713962084,2.163753427924168,137.25,44.6
7,2023-01-16,08:24,EUR/USD,Swing,Tokyo,2.5,101.45,Loss,-101.45,10722.06,10907.37,1.7,722.0500000000001,7,0,Monday,January,2023,1,8,-2,5,2,202.9,2,0,87.768,10730.535999999998,103.14999999999999,10587.925714285713,103.14999999999999,10587.925714285713,103.14999999999999,10587.925714285713,-68.926,,-17.58000000000004,142.20721395203552,142.20721395203552,142.20721395203552,1.3786448274555068,185.3100000000013,-0.5474610112783945,101.45,0.7253499814347747,2,2023-01-16 08:24:00,117.76666666666667,0,20.961011088589476,1,0,7.0,0.8660254037844387,-0.4999999999999998,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,16,0,0,71.42857142857143,71.42857142857143,71.42857142857143,4.896233541981438,4.896233541981438,1.958493416792575,103.14999999999999,22.6
8,2023-01-16,02:12,NZD/USD,News Trading,Sydney,3.0,115.42,Win,346.25,11068.31,11068.31,0.0,1068.3000000000002,8,1,Monday,January,2023,1,2,1,5,2,346.25,0,1,108.38199999999999,10838.918000000001,133.5375,10647.97375,133.5375,10647.97375,133.5375,10647.97375,39.86,,447.70000000000016,157.22947694827639,157.22947694827639,157.22947694827639,1.1774181555613696,0.0,0.0,115.42,0.8493159335760538,2,2023-01-16 02:12:00,-6.2,1,13.770330211927062,0,0,8.0,0.49999999999999994,0.8660254037844387,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,16,0,0,75.0,75.0,75.0,6.764623354198143,6.764623354198143,2.254874451399381,133.5375,98.8
9,2023-01-18,22:54,EUR/USD,Breakout,Sydney,1.5,110.92,Loss,-110.92,10957.39,11068.31,1.0,957.3800000000002,9,0,Wednesday,January,2023,1,22,-1,5,2,110.92,1,0,56.80799999999999,10895.726,106.37555555555555,10682.353333333333,106.37555555555555,10682.353333333333,106.37555555555555,10682.353333333333,-68.99,,-457.1700000000001,168.1395578166476,168.1395578166476,168.1395578166476,1.5806221357766284,110.92000000000007,-0.9999999999999993,110.92,0.6326622773182008,1,2023-01-18 22:54:00,68.7,0,-3.8988043666608907,0,1,9.0,-0.5000000000000004,0.8660254037844384,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,31,18,0,0,66.66666666666666,66.66666666666666,66.66666666666666,4.231771536591952,4.231771536591952,2.1158857682959757,106.37555555555555,9.6
10,2023-01-20,07:23,GBP/USD,Swing,Tokyo,2.5,91.12,Loss,-91.12,10866.27,11068.31,1.83,866.2600000000002,10,0,Friday,January,2023,1,7,-2,5,2,182.24,2,0,-8.222000000000005,10887.506,86.626,10700.744999999999,86.626,10700.744999999999,86.626,10700.744999999999,-1.45,,19.799999999999955,170.38235831994658,170.38235831994658,170.38235831994658,1.9668732057343818,202.03999999999905,-0.4509998020194042,91.12,0.5084211819473258,1,2023-01-20 07:23:00,32.483333333333334,0,-17.85070320952037,0,0,10.0,0.9659258262890683,-0.25881904510252063,4,-0.433883739117558,-0.9009688679024191,1,0.49999999999999994,0.8660254037844387,0,1,31,20,0,0,60.0,60.0,60.0,3.236317637339942,3.236317637339942,2.157545091559961,86.626,35.8
11,2023-01-23,05:43,USD/CAD,Trend Following,Sydney,1.5,106.81,Loss,-106.81,10759.46,11068.31,2.79,759.4500000000003,11,0,Monday,January,2023,1,5,-3,5,3,320.43,3,0,-12.810000000000006,10874.698,57.986000000000004,10758.732,69.0409090909091,10706.082727272727,69.0409090909091,10706.082727272727,-1.0719999999999998,5.696398381467227,-15.68999999999994,176.96327837529833,171.83923553452777,171.83923553452777,2.488948042504188,308.85000000000036,-0.34583130969726367,106.81,0.4017761652404271,1,2023-01-23 05:43:00,70.33333333333333,0,17.219051799824413,0,0,10.0,0.9659258262890683,0.25881904510252074,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,23,0,0,50.0,54.54545454545454,54.54545454545454,2.5368193131918164,2.5368193131918164,2.1140160943265136,69.0409090909091,14.399999999999999
12,2023-01-25,20:29,SPX500,Breakout,New York,1.5,101.37,Win,152.05,10911.51,11068.31,1.42,911.5000000000002,12,1,Wednesday,January,2023,1,20,1,5,3,152.05,0,1,37.89,10912.588,62.82899999999999,10821.562,75.95833333333333,10723.201666666666,75.95833333333333,10723.201666666666,-38.839999999999996,6.10995982771918,258.8599999999999,179.00187605782858,165.58533333345534,165.58533333345534,2.179949533737207,156.79999999999927,0.9697066326530658,101.37,0.4587262156870417,1,2023-01-25 20:29:00,62.766666666666666,0,-5.093156071528881,0,0,10.0,-0.8660254037844386,0.5000000000000001,2,0.9749279121818236,-0.22252093395631434,1,0.49999999999999994,0.8660254037844387,0,0,31,25,0,0,50.0,58.333333333333336,58.333333333333336,2.844506951049234,2.844506951049234,2.0317906793208813,75.95833333333333,65.0
13,2023-01-27,12:49,NAS100,Trend Following,Overlap-Asia-EU,1.5,107.38,Loss,-107.38,10804.12,11068.31,2.39,804.1200000000002,13,0,Friday,January,2023,1,12,-1,5,3,107.38,1,0,-52.836,10859.75,27.773000000000003,10849.333999999999,61.855384615384615,10729.426153846154,61.855384615384615,10729.426153846154,0.7080000000000013,2.6383188934488544,-259.42999999999995,174.01482497828232,166.49095624164218,166.49095624164218,2.6916162154172865,264.1899999999987,-0.4064499034785591,107.38,0.37152399152305154,1,2023-01-27 12:49:00,40.333333333333336,0,5.928775771924633,0,0,10.0,1.2246467991473532e-16,-1.0,4,-0.433883739117558,-0.9009688679024191,1,0.49999999999999994,0.8660254037844387,0,1,31,27,0,0,40.0,53.84615384615385,53.84615384615385,2.336746737594548,2.336746737594548,2.002925775081041,61.855384615384615,14.000000000000002
14,2023-01-30,01:58,EUR/USD,Reversal,Sydney,2.0,96.05,Win,192.09,10996.22,11068.31,0.65,996.2100000000003,14,1,Monday,January,2023,1,1,1,5,3,192.09,0,1,7.766000000000003,10867.516,32.287,10881.621,71.15785714285714,10748.482857142857,71.15785714285714,10748.482857142857,56.64200000000001,3.0250108916132223,299.47,177.98988454715936,163.70245363409853,163.70245363409853,2.3005534484469936,72.09000000000015,2.6645859342488505,96.05,0.4346780122300822,1,2023-01-30 01:58:00,61.15,0,-10.551313093685977,0,0,10.0,0.25881904510252074,0.9659258262890683,0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,1,0,31,30,1,0,40.0,57.14285714285714,57.14285714285714,2.656071814479262,2.656071814479262,1.9920538608594465,71.15785714285714,73.0
15,2023-01-31,18:58,USD/CAD,Scalping,New York,1.5,106.22,Win,159.33,11155.54,11155.54,0.0,1155.5400000000002,15,1,Tuesday,January,2023,1,18,2,5,3,318.66,0,2,57.855999999999995,10925.37,24.817,10906.438,77.036,10775.619999999999,77.036,10775.619999999999,53.227999999999994,2.275250587446842,-32.760000000000105,169.96903894860122,159.3819427753883,159.3819427753883,2.068928069673767,0.0,0.0,106.22,0.48334208165955345,1,2023-01-31 18:58:00,41.0,0,10.588235294117654,0,0,10.0,-1.0,-1.8369701987210297e-16,1,0.7818314824680298,0.6234898018587336,1,0.49999999999999994,0.8660254037844387,0,0,31,31,1,0,40.0,60.0,60.0,2.9209375779236977,2.9209375779236977,1.9472917186157985,77.036,66.60000000000001
16,2023-02-02,20:34,USD/JPY,Range Trading,New York,2.0,85.59,Loss,-85.59,11069.96,11155.54,0.77,1069.9500000000003,16,0,Thursday,February,2023,1,20,-1,5,3,85.59,1,0,62.1,10987.470000000001,24.645000000000003,10931.083999999999,66.871875,10794.01625,66.871875,10794.01625,-47.528000000000006,2.2770822746800867,-244.91999999999985,170.09207103147924,159.2546632375852,159.2546632375852,2.381489426423069,85.58000000000175,-1.0001168497312252,85.59,0.4199052865424526,1,2023-02-02 20:34:00,49.6,0,-19.42195443419318,0,1,10.0,-0.8660254037844386,0.5000000000000001,3,0.43388373911755823,-0.900968867902419,2,0.8660254037844386,0.5000000000000001,0,0,28,2,0,1,40.0,56.25,56.25,2.5571062665541233,2.5571062665541233,1.988860429542096,66.871875,42.9
17,2023-02-06,08:14,SPX500,Scalping,Tokyo,2.5,115.91,Win,289.78,11359.74,11359.74,0.0,1359.7300000000002,17,1,Monday,February,2023,1,8,1,5,3,289.78,0,1,89.64599999999999,11077.116,63.76800000000001,10994.852,79.98411764705882,10827.29411764706,79.98411764705882,10827.29411764706,79.43199999999999,5.947364592251869,375.3699999999999,182.41355382146847,163.4005667087336,163.4005667087336,2.042912662108265,0.0,0.0,115.91,0.4894971863202464,1,2023-02-06 08:14:00,83.66666666666667,0,35.424699147096604,1,0,10.0,0.8660254037844387,-0.4999999999999998,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,6,0,0,50.0,58.82352941176471,58.82352941176471,2.9788252757807725,2.9788252757807725,2.085177693046541,79.98411764705882,92.80000000000001
18,2023-02-07,04:09,XAU/USD,News Trading,Sydney,1.0,110.23,Loss,-110.23,11249.51,11359.74,0.97,1249.5000000000002,18,0,Tuesday,February,2023,1,4,-1,5,3,110.23,1,0,89.07599999999998,11166.194,18.119999999999997,11012.972,69.41666666666667,10850.750555555556,69.41666666666667,10850.750555555556,-60.464,1.6371062971673345,-400.01,159.55290526273026,164.7399475465713,164.7399475465713,2.373204526481219,110.22999999999956,-1.000000000000004,110.23,0.42137118349538666,1,2023-02-07 04:09:00,19.916666666666668,0,-4.900353722715889,0,0,10.0,0.8660254037844386,0.5000000000000001,1,0.7818314824680298,0.6234898018587336,2,0.8660254037844386,0.5000000000000001,0,0,28,7,0,0,40.0,55.55555555555556,55.55555555555556,2.5670265999473267,2.5670265999473267,2.0536212799578615,69.41666666666667,10.8
19,2023-02-09,20:29,EUR/GBP,Reversal,New York,3.0,82.54,Win,247.62,11497.13,11497.13,0.0,1497.1200000000003,19,1,Thursday,February,2023,1,20,1,5,3,247.62,0,1,100.18199999999999,11266.376,53.974000000000004,11066.946,78.79578947368421,10884.77052631579,78.79578947368421,10884.77052631579,17.657999999999998,4.925808061956349,357.85000000000014,167.42427855269045,165.23590752872727,165.23590752872727,2.097014429735638,0.0,0.0,82.54,0.47686844011181456,1,2023-02-09 20:29:00,64.33333333333333,0,-25.12020321146693,0,0,10.0,-0.8660254037844386,0.5000000000000001,3,0.43388373911755823,-0.900968867902419,2,0.8660254037844386,0.5000000000000001,0,0,28,9,0,0,50.0,57.89473684210527,57.89473684210527,2.8775725196583766,2.8775725196583766,2.0927800142970012,78.79578947368421,84.6
20,2023-02-13,16:56,NAS100,Trend Following,Overlap-EU-US,1.0,107.21,Win,107.21,11604.34,11604.34,0.0,1604.3300000000004,20,1,Monday,February,2023,1,16,2,5,3,214.42,0,2,89.75799999999998,11356.135999999999,73.807,11140.753,80.2165,10920.749,80.2165,10920.749,38.56,6.792303154624357,-140.41000000000008,159.90494586541786,160.954274555327,160.954274555327,2.0064983457932843,0.0,0.0,107.21,0.4983806750185195,2,2023-02-13 16:56:00,92.45,0,29.88853889023502,0,0,10.0,-0.8660254037844385,-0.5000000000000004,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,13,0,0,60.0,60.0,60.0,3.0120270388903516,3.0120270388903516,2.0080180259269014,80.2165,55.800000000000004
21,2023-02-13,17:29,NZD/USD,Swing,Overlap-EU-US,2.0,84.46,Win,168.92,11773.27,11773.27,0.0,1773.2500000000005,21,1,Monday,February,2023,1,17,3,4,3,506.76,0,3,140.65999999999997,11496.798,101.38,11242.134,79.683,11000.433,84.44047619047619,10961.345238095239,-24.171999999999997,9.422498898643617,61.710000000000036,148.67847643675782,160.62490096986505,158.068485299132,2.015798865126376,0.0,0.0,84.46,0.4960812397011182,2,2023-02-13 17:29:00,0.55,0,-21.22003544445481,0,1,10.0,-0.9659258262890683,-0.25881904510252063,0,0.0,1.0,2,0.8660254037844386,0.5000000000000001,1,0,28,13,0,0,70.0,60.0,61.904761904761905,2.99864554723654,3.223873484078909,1.9990970314910264,79.683,69.39999999999999
